,news,code
0,"1일 오후 강원 고성군 도원리의 주택 화재가 산불로 번져 도학초교 야산에서 연기와 불길이 치솟고 있다. 현재 고성지역에는 건조주의보와 강풍주의보가 동시에 내려져 있다. 사진=연합뉴스 1일 오후 강원 고성군 도원리의 주택 화재가 산불로 번져 도학초교 야산에서 연기와 불길이 치솟고 있다. 현재 고성지역에는 건조주의보와 강풍주의보가 동시에 내려져 있다. 사진=연합뉴스

강원 고성군 토성면 주택 화재로 시작된 화재가 대규모 산불로 번졌다. 해당 지역 주민과 군병력 2400여 명이 주변 초등학교 등으로 긴급 대피했다.1일 소방청에 따르면 이날 오후 8시10분께 고성군 토성면 도원리 주택에서 원인 미상의 불이 났다. 불은 초속 6.3m의 강풍을 타고 남서쪽으로 번졌다. 고성군과 소방당국은 학야1·2리, 도원 1·2리 주민 총 271가구 600여 명에게 대피령을 내렸다. 주민들은 고성 아야진초등학교와 천진초등학교 일대에 대피했다. 육군 22사단 장병 1800여 명도 대피했다.소방청은 불길이 확산되자 ‘2단계 대응’을 발령하고 전국 차원에서 소방차 출동을 지시했다. 출동한 소방차는 225대, 소방인력은 606명이다.기상청에 따르면 오후 8시 기준 1시간 내 순간 풍속은 속초(미시령) 24.9m, 대관령 17.2m, 양양 17.2m 강릉 16.7m 등이다. 기상청은 1일부터 2일까지 강원 산지와 동해안에 강풍이 불 것으로 예보했다. 건조한 날씨와 강풍 탓에 소방당국이 진화에 어려움을 겪었다. 산림청 중앙산불방지대책본부는 강원 영동지역에 산불재난 국가 위기 경보를 ‘심각’으로 발령했다.문재인 대통령은 “주민 대피에 철저를 기하고 어르신 등의 대피에도 만전을 다하라”고 지시했다.박종관 기자 pjk@hankyung.comⓒ 한국경제 & hankyung.com , 무단전재 및 재배포 금지",사회
1,"기사 섹션 분류 안내

기사의 섹션 정보는 해당 언론사의 분류를 따르고 있습니다. 언론사는 개별 기사를 2개 이상 섹션으로 중복 분류할 수 있습니다.

닫기",사회
2,"기사 섹션 분류 안내

기사의 섹션 정보는 해당 언론사의 분류를 따르고 있습니다. 언론사는 개별 기사를 2개 이상 섹션으로 중복 분류할 수 있습니다.

닫기",사회
3,"기사 섹션 분류 안내

기사의 섹션 정보는 해당 언론사의 분류를 따르고 있습니다. 언론사는 개별 기사를 2개 이상 섹션으로 중복 분류할 수 있습니다.

닫기",사회
4,"기사 섹션 분류 안내

기사의 섹션 정보는 해당 언론사의 분류를 따르고 있습니다. 언론사는 개별 기사를 2개 이상 섹션으로 중복 분류할 수 있습니다.

닫기",사회
5,"동영상 뉴스

■ 진행 : 최영주 앵커■ 전화연결 : 제진주 / 서울시립대 소방방재학과 교수* 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.[앵커]그러면 여기서 화재 전문가 다시 한 번 연결해서 현재 상황 그리고 시민들 대처요령도 짚어보도록 하겠습니다.제진주 서울시립대 방재학과 교수가 연결되어 있습니다. 교수님, 안녕하세요.앞서 기자도 연결했지만 현장 상황이 몸을 가누지 못할 정도로 강풍이 심한 것 같습니다. 이럴 때 불을 진압하는 게 불가능한 상황입니까? 어떻게 보세요?[제진주]지금 상황으로는 전혀 불가능하다고 판단됩니다.[앵커]현장 상황 조금 더 자세히 진단해 주신다면요?[제진주]지금 양간지풍이라고 해서 봄철이 되면 강원도 고성에서 간성 쪽으로, 양양에서 간성 쪽으로 부는 엄청난 바람이 불거든요. 시속 100km 정도 됩니다. 몸을 못 가눌 정도로 심한 바람이 부는 건데요. 그런 상태에 건조하기까지 합니다. 4월 5일 이맘때에, 그러니까 건조한 상태에서 심한 바람이 부니까 불은 걷잡을 수 없이 빨리 번지는데 낮에 부는 해풍보다 본래 해류풍이 교대로 부는데요.낮에는 바다에서 불어오고 밤에는 산간, 육지에서 불어오는데 육풍이 산 쪽에서 불어 내려오는 바람이 엄청나게 낮아서 더 빠릅니다. 그러면 바람도 빠르죠. 건조하죠. 거기다가 소방진압대원들이 활동을 할 수가 없고 어두우니까 진압헬기가 뜰 수도 없고. 불은 끌 수도 없고 끌 방법도 없고 건조한 상태에 바람은 세고 그러니까 아주 속수무책이라고밖에 보이지 않습니다.[앵커]그렇군요. 지금 일단 저지선 구축 노력을 하고 있는데 지금 그것마저도 쉬워보이지 않다라는 말씀이신가요?[제진주]최선을 다하겠지만 쉬워 보이지는 않습니다. 거기에 아마 육군 모 사단이 배치되어 있을 텐데요. 그 사단의 중요 시설들을 방어하기 위해서 소방차량이 배치되어 있을 겁니다. 그리고 주요 거점에 미리 불을 뿌림으로 해서 타지 않도록 한다든지 하는 지켜야 될 중요한 장소는 방호가 가능하겠지만 모든 장소를 다 지킬 수 있는 소방차나 인원도 없을 테니까 중요 거점 중심으로 사람이 살고 있는 사람들도 아마 피난해서 대피해서 있을 겁니다. 그 지역을 지킬 수 있도록 그런 소극적인 대책밖에는 없을 것으로 판단됩니다.[앵커]지금 현재로서 산불을 완전히 진압하기에는 힘든 상황이고 일단 인명피해를 막기 위해서 먼저 노력을 해야 한다. 이런 말씀이시죠?[제진주]그렇습니다.[앵커]인근 산불 주변의 지역 주민들은 대피를 인근으로 다 했다고는 하는데 어떻게 대처를 해야 한다고 보십니까?[제진주]우선 피난해 있는 사람들 쪽으로까지 불이 오지 아니하도록 소방차량이 배치되어 있거나 소방차량을 배치할 수가 없는 상황이라면 물량적으로 직접 물을 끼얹으면서 방어태세를 갖춰야 할 것으로 보입니다. 일단 첫 번째 인명, 두 번째 주요시설물을 대상으로 소방차량이나 물양동이 등을 준비해서 번지지 않도록 사람이 다치지 않도록 하는 소극적인 대책밖에는 현재로서는 생각할 수밖에 없습니다.[앵커]일단 인명피해가 없었으면 하는 바람이 가장 큰데요. 오늘 밤 10시 20분 정도에 강원도 영동 지역에 산불재난 국가위기 경보가 심각 단계로 발령이 됐습니다. 이게 심각이면 어느 정도 수준이라고 봐야 되는 겁니까?[제진주]말 그대로 심각하다는 걸로 이해하시면 되는데요. 하지만 어떻게 대처할 방법이 없다 하는 정도로 이해하시면 될 겁니다. 그런 단계라고 이해하시면 될 겁니다.[앵커]어떻게 대처할 방법이 없다.[제진주]끌 수 있는 방법이 없다. 아마 내일 아침 해가 떠야 육풍도 조금 해풍도 일기 시작하면서 육지 쪽에서 부는 바람이 약해질 거고. 또 해가 떠야 헬기나 사람도 움직일 수 있을 거고 그때까지는 소극적인 태세를 갖출 수밖에 없다가 해가 뜨면서 바람 방향이 바뀌면서 그때나 적극적으로 활동할 수 있을 걸로 보입니다.[앵커]일단 날이 밝아서 육지풍이 해류풍으로 바뀔 때까지 기다려야 한다라는 말씀이신가요?[제진주]네, 그렇습니다.[앵커]그러면 밤새 어떤 대처들을 할 수 있을까요? 최선의 방법이 뭘까요?[제진주]불을 끌 수 있는 방법을 강구하기는 힘들 겁니다. 아까도 말씀드린 바와 같이 군부대 등 주요 시설물에 대한 방어 조치. 사람이 모여 있는 장소에 대한 방어조치를 하면서 중요시설물이나 인명에 대한 피해가 없도록 신경을 쓰고 참 안타까운 상황이다라고밖에는 생각할 수 없습니다.[앵커]정말 안타까운 상황인데요. 이게 강원도 지방에서는 이맘때 쯤에 워낙 건조주의보가 발령되고 또 강풍도 말씀하셨듯이 심하기 때문에 해마다 이맘때 쯤이면 좀 불이 많이 발생하지 않았습니까?[제진주]그렇습니다.[앵커]이번 고성 산불은 과거와 비교해서 어떻게 진단하고 계십니까?[제진주]확실한 건 모르겠지만 전에는 전신주에 스파크가 났다든지 또는 실화, 즉 쓰레기를 태우다 불이 난다든지 하는 상황이었는데 이번에는 아마 주택에서 나서 산으로 옮겼다고 저는 전해들었습니다. 그렇다면 참 조심할 만한 조심은 다 했을 텐데 주택에서 난 화재까지 산으로 번질 것까지 예상을 못했을 겁니다. 참 안타까운데 지금 저도 밤새 잠을 못 잘 것 같습니다, 이거 보면서. 다치지 않고 피해가 최소화되도록 기도하는 수밖에 없습니다, 지금 상황은.[앵커]지금 인근에 사는 주민들, 아직 대피하지 않은 주민들이 있으시다면 인근에 있는 천진초등학교, 그리고 아야진초등학교로 대피를 하시면 됩니다. 또 군부대 군인들도 지금 대피를 하고 있는데 교수님, 시민들이 밤새, 물론 마음을 많이 졸이실 겁니다. 이런 화재가 난 상황에서는 어떻게 대처를 해야 하는지 요령을 간단히 전해 주시죠.[제진주]지금 화재가 나고 있는 산 한가운데 사람이 있는 것에 대한 대처 방법을 말씀하시는 게 아니죠? 그렇죠?[앵커]일단 대피한 주민들이 집 안에 많은 집기들도 그냥 놓고 나오셨을 테고 지금 마음을 많이 졸이실 것 같습니다.[제진주]지금 귀중품을 놓고 나왔다고 해서 거기에 대해서 가지러 간다든지 이런 것은 삼가주셨으면 역시 사람이 다치는 게 더 큰일이지 않습니까? 그러니 귀중품을 못 가지고 나왔다고 해도 안타까워하시지 말고 참으시되 아마 경찰, 소방 병력이 거기서 좀도둑이 도둑질하도록 관리하지는 않을 겁니다. 그러니까 자기 한 몸 잘 간수하시도록 다치지 않도록 해 주시기를 주민들께 부탁드리고 싶습니다.[앵커]알겠습니다. 오늘 이렇게 늦은 밤에 전화 연결해 주셔서 감사합니다.[제진주]고생 많으십니다.[앵커]지금까지 제진주 서울 시립대 소방방재학과 교수와 함께 이야기 나눠봤습니다.[저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]",사회
6,"안양시의회 제1회 추경예산안 의결. 사진제공=안양시의회 안양시의회 제1회 추경예산안 의결. 사진제공=안양시의회

[안양=파이낸셜뉴스 강근주 기자] 안양시의회가 4월27일부터 29일까지 3일간 제255회 안양시의회 임시회 예산결산특별위원회를 열어 2020년도 제1회 추경예산 및 기금에 대한 종합심사를 했다.예결특위는 2020년도 제1회 추가경정예산안과 2020년도 기금운용계획 변경안에 대한 면밀한 심사를 거쳐 추경예산안 중 4건의 사업에 4억3859만원을 삭감해 수정 가결했다.예산안 심사과정에서 청년도깨비 야시장 사업 등 4건의 개선사항을 심사의견서로 채택했으며, 기금운용계획 변경안 심사는 기금이 성격과 목적에 맞게 편성된 것으로 판단해 원안 가결했다.또한 예결특위는 심의기간 중 만안구어린이도서관 대상부지와 안양천생태이야기관, 주접지하차도 옆 주차장 조성 부지를 방문해 관련 직원으로부터 사업개요를 청취하고 다양한 개선사항을 전달하는 등 심도 있는 예산 심의를 위한 적극적인 의정활동을 펼쳤다.김은희 예결특위 위원장은 “코로나19로 소상공인을 비롯한 저소득층이 생활에 어려움을 겪는 시기에 시에서 재원 확보를 위해 다각적인 노력을 기울이고 바이러스 차단과 경제회복을 위해 최선을 다해 주심에 감사하다”며 “신규 편성된 예산과 주요 시책은 사업 초기부터 시의회 및 해당 주민들과 충분한 사전협의를 통해 예산이 적재적소에 효율적으로 운용될 수 있도록 해달라”고 당부했다.※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지",사회
7,"대형 산불 발생 1주년을 맞은 강원 고성군 토성면의 민둥산에서 조림사업이 진행중이다. /사진=뉴스1 이찬우 기자 대형 산불 발생 1주년을 맞은 강원 고성군 토성면의 민둥산에서 조림사업이 진행중이다. /사진=뉴스1 이찬우 기자

지난해 4월 발생한 산불로 지역민들의 상처가 채 아물지 않은 상황에서 강원도 고성의 대형 산불이 또다시 발생했다.







소방청은 오후 9시43분에 당번 소방력의 10%를 동원하는 '동원령 2호'를 발령했다. 고성군은 토성면 행정복지센터에 산불현장대책본부를 설치하고 산림청, 속초시, 육군 제22보병사단 등에 지원을 요청했다.



고성군에선 지난해 4월4일에도 산불이 발생, 고성군과 경계지역인 영랑호 일대까지 불이 번진 바 있다. 당시 산불의 원인을 제공한 한국전력공사는 올 3월25일 400여명의 임야 피해민들에 대한 지원을 시작했고 4월6일부터는 소상공인 지원에도 나섰다.



하지만 사고 발생 1년이 지났음에도 주택을 잃은 이재민들에 대해선 배상문제가 완전히 해결되지 않고 있다. 원인을 제공했던 한전이 지난해 산불 진화 이후 민사적 책임까지 지겠다고 했지만 사건은 아직도 수사가 진행 중이다.



당시 2명이 사망하고 1524명의 이재민이 발생한 지난해 산불로 지역 주민들은 1295억원이 넘는 재산피해를 입었고 2832헥타르(㏊)의 산림이 화마에 소실됐다.

1일 소방당국에 따르면 이날 오후 8시4분쯤 강원 고성군 토성면 도원리 무릉도원로 인근 한 주택에서 발생한 불이 강한 바람을 타고 인근 산으로 옮겨붙었다. 불은 북쪽 학야리 방향으로 번지고 있다.송창범 기자 ssamddaq@mt.co.kr",사회
8,"[서울=뉴시스]문재인 대통령이 30일 오전 국가위기관리센터에서 이천 물류창고 공사 현장 화재 관련 긴급상황보고를 받은 후 관련 내용을 지시하고 있다.(사진=청와대 제공) 2020.04.30. photo@newsis.com [서울=뉴시스]문재인 대통령이 30일 오전 국가위기관리센터에서 이천 물류창고 공사 현장 화재 관련 긴급상황보고를 받은 후 관련 내용을 지시하고 있다.(사진=청와대 제공) 2020.04.30. photo@newsis.com

[고성=뉴시스]김경목 기자 = 1일 오후 오후 8시10분께 강원 고성군 토성면 도원리 무릉도원로 인근 주택에서 발생한 불이 산으로 옮겨 붙어 강풍에 번지고 있다. (사진=동부지방산림청 제공). 2020.05.01.photo＠newsis.com [고성=뉴시스]김경목 기자 = 1일 오후 오후 8시10분께 강원 고성군 토성면 도원리 무릉도원로 인근 주택에서 발생한 불이 산으로 옮겨 붙어 강풍에 번지고 있다. (사진=동부지방산림청 제공). 2020.05.01.photo＠newsis.com

[서울=뉴시스] 김태규 기자 = 문재인 대통령은 1일 강원도 고성군 산불과 관련해 주민 대피에 철저를 기하라고 긴급 지시했다고 청와대가 밝혔다.한정우 춘추관장은 이날 출입기자단에 문자 메시지를 보내 ""문 대통령이 주민 대피에 철저를 기하고, 산기슭 민가나 어르신 등의 대피에도 만전을 다하라""고 지시했다고 밝혔다.문 대통령은 또 ""산불 진화 방향을 예측해 필요시 예상되는 지역 주민을 미리 대피시킬 것""이라며 ""야간 산불 진화에 어려움이 있는 만큼 민가로의 확산 지연에 노력하되, 진화인력 안전에도 각별히 유의를 다할 것""이라고 지시했다.그러면서 ""일출 시 산불을 속히 진화할 수 있도록 헬기 등 진화 자원을 총동원하는 등의 준비에 철저를 기하라""고 주문했다.산림당국에 따르면 이날 오후 8시10분께 고성군 토성면 도원리 무릉도원로 주택에서 발생한 불이 산으로 옮겨 붙어 강풍에 번지고 있다.산불 발생 지역 인근 도원리, 학야리 주민들은 천진초등학교 체육관으로 대피하고 있다. 학야1·2리 137세대 203명, 도원1·2 리 134세대 217명 등 총 691세대 420명의 주민들이 대피 중에 있다.공무원 24명, 진화대 72명, 소방 68명 등 164명이 산불 진화에 투입됐다. 소방차 25대, 진화차 9대, 지휘차 1대 등 차량 35대와 등짐펌프 200개를 투입해 진화 중에 있지만, 최대순간풍속 시속 55㎞(초속 15ｍ)의 강풍에 야간 상황에 따른 시야 확보가 제한적이라 진화에 어려움을 겪고 있다. ☞공감언론 뉴시스 kyustar@newsis.com",사회
9,"노동절 130주년이자 황금연휴 둘째 날인 1일 제주국제공항 1층 국내선 도착장에 관광객들로 붐비고 있다. 제주=뉴시스

황금연휴 이틀째인 1일 제주와 강원, 부산 등 바닷가를 낀 관광지 곳곳이 신종 코로나 바이러스 감염증(코로나19) 사태에 발목이 잡혀 답답한 생활을 견디다 못해 밖으로 나온 인파로 북적였다.경북 내륙과 강원 몇몇 지역은 낮 기온이 32도 안팎까지 올라가는 등 여름 피서철을 방불케 하는 더위가 찾아와 나들이를 부추겼다.이날 제주공항에는 종일 관광객 입도 행렬이 이어졌고, 주요 해변과 관광지는 여장을 푼 나들이객들로 들썩거렸다.제주관광협회에 따르면 연휴 전날인 지난달 29일 이미 3만6587명이 들어왔고, 30일에는 4만6000여명이 입도했다. 1일 입도객은 4만2000여명으로 예상된다.이날 협재와 함덕, 곽지, 월정, 중문, 김녕 등 제주의 주요 해변은 화창한 날씨를 즐기려는 관광객으로 크게 붐볐다.공항에 도착할 때와 달리 해변에 나온 관광객 상당수는 마스크를 벗어 코로나19 감염에 대한 경계심을 내려놓은 모습이었다는 전언이다.코로나19 예방을 위한 이른바 ‘사회적 거리두기’가 느슨해진 것이 아니냐는 지적이 끊이지 않는 가운데 도민들은 몇몇 관광객 일탈에 우려를 표한 것으로 전해졌다.해변과 해안도로 주변 카페들도 모처럼 특수를 누렸다.실내 관광지들은 거리두기를 위해 입장인원 제한, 강제 발열검사 및 손 소독 등 감염 예방에 부단히 힘쓰는 모습이었다.한편 해운대를 비롯한 부산의 해변과 주요 관광지 역시 모처럼 나들이를 나온 이들로 붐볐다.해운대 해수욕장 백사장에는 마스크를 착용한 나들이객과 관광객이 탁 트인 바다와 해변을 덮치는 파도를 보며 코로나19에 갇힌 일상의 답답함을 풀어냈다.이벤트 광장과 백사장 조형물 앞에는 사진을 찍으려는 관광객이 줄을 서고, 산책로와 조선비치 호텔 앞 동백섬 일대에도 발길이 이어졌다.덕분에 바닷가 특급 호텔은 모처럼 손님이 몰려 특수를 누렸다.동해안 기장 해변에 있는 힐튼 부산은 코로나19로 가동 객실 수를 줄여 운영하고 있지만, 80% 이상이 예약된 상태다.파라다이스 부산 등 해운대 특급 호텔도 지난주와 비교해 손님 수가 많이 늘어났다고 전했다.전국 곳곳에서 관광객 대부분이 마스크를 착용하고 사회적 거리를 유지하는 모습이었지만, 날씨가 더워지자 마스크를 벗은 이들이 늘어나 코로나19에 대한 경계심이 풀어졌다고 걱정하는 목소리가 나온다.이동준 기자 blondie@segye.comⓒ 세상을 보는 눈,",사회
